username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
RamBalachandran;2015-12-02 04:02;3;1;"Regional Helpline Numbers. Please pass on. #chennairains #ChennaiFloods https:// twitter.com/TimesNow/statu s/671781793293447168 ";;;#chennairains #ChennaiFloods;"671819290987913219";https://twitter.com/RamBalachandran/status/671819290987913219
SimplyArsh;2015-12-02 04:01;0;0;"@brawling_virago Devastation in #ChennaiFloods has kept me awake tonight.";;@brawling_virago;#ChennaiFloods;"671818978310750208";https://twitter.com/SimplyArsh/status/671818978310750208
akhileshram26;2015-12-02 04:00;1;2;"Really heartwarming to see people in Chennai coming together in this time of need. Stay safe everyone. #ChennaiFloods";;;#ChennaiFloods;"671818654061867010";https://twitter.com/akhileshram26/status/671818654061867010
sarvinerdo;2015-12-02 03:59;0;0;"Take a look at #ChennaiFloods @sardesairajdeep @justicearnab @ndtv @timesofindia @ibnlive @BBCHindi @BBCBreaking .. Why no show ?";;@sardesairajdeep @justicearnab @ndtv @timesofindia @ibnlive @BBCHindi @BBCBreaking;#ChennaiFloods;"671818412629188609";https://twitter.com/sarvinerdo/status/671818412629188609
viannip;2015-12-02 03:58;0;0;"Prayers for the people who are suffering through the worst rains and flooding #ChennaiFloods";;;#ChennaiFloods;"671818095485280256";https://twitter.com/viannip/status/671818095485280256
Sushmitha_m;2015-12-02 03:55;5;0;"ALL THE HELPLINES for #chennairains #chennaifloods Please share. https:// twitter.com/moganeshp/stat us/671807198197059589 ";;;#chennairains #chennaifloods;"671817353697562630";https://twitter.com/Sushmitha_m/status/671817353697562630
AjithfcKsa;2015-12-02 03:54;0;0;"Hope All Colleges Will Open And Rescue People in Chennai That will be big Place to Rescue My Opinion #ChennaiFloods #ChennaiRainsHelp";;;#ChennaiFloods #ChennaiRainsHelp;"671817163649454080";https://twitter.com/AjithfcKsa/status/671817163649454080
SureshB127;2015-12-02 03:53;3;0;"Important Helpline numbers. Pls RT and share!! #ChennaiRescue #ChennaiFloods #ChennaiRainsHelp #chennairains https:// twitter.com/ThalaAjith_FC/ status/671806340742946816 ";;;#ChennaiRescue #ChennaiFloods #ChennaiRainsHelp #chennairains;"671816920300064768";https://twitter.com/SureshB127/status/671816920300064768
neebooon;2015-12-02 03:52;0;0;"Hope the downpour stops soon. Passengers stranded as Chennai Airport Flooded - http://www. ndtv.com/cheat-sheet/in -flooded-chennai-airport-shuts-down-as-runaway-goes-under-water-1249915 via @ndtv #chennaifloods";;@ndtv;#chennaifloods;"671816712359137280";https://twitter.com/neebooon/status/671816712359137280
pottikadai;2015-12-02 03:52;0;0;"#chennairains #ChennaiRainsHelp #Chennaifloods https:// twitter.com/AparnaRaj05/st atus/671815642610188288 ";;;#chennairains #ChennaiRainsHelp #Chennaifloods;"671816659313684480";https://twitter.com/pottikadai/status/671816659313684480
Banuchanthiran;2015-12-02 03:52;0;0;"#ChennaiFloods #chennai corporation announced emergency contact pic.twitter.com/KWEMHnVjhx";;;#ChennaiFloods #chennai;"671816579198291968";https://twitter.com/Banuchanthiran/status/671816579198291968
ImPradeepKumar;2015-12-02 03:52;10;4;"All Chennai mosques open with accommodation and food. Please RT and share. #chennairains #ChennaiFloods #ChennaiRainsHelp";;;#chennairains #ChennaiFloods #ChennaiRainsHelp;"671816557635362817";https://twitter.com/ImPradeepKumar/status/671816557635362817
craZychiCk2708;2015-12-02 03:51;0;1;"My heart goes out to my 2nd home #TamilNadu #Chennai people guys pls be safe & stay strong! #ChennaiFloods #ChennaiRains";;;#TamilNadu #Chennai #ChennaiFloods #ChennaiRains;"671816485631692800";https://twitter.com/craZychiCk2708/status/671816485631692800
RamBalachandran;2015-12-02 03:51;2;0;"#chennairains #Chennai #ChennaiFloods Please pass on Helpline information pic.twitter.com/aDusiNqLgK";;;#chennairains #Chennai #ChennaiFloods;"671816447497216000";https://twitter.com/RamBalachandran/status/671816447497216000
aarthirag2395;2015-12-02 03:51;0;0;"#ChennaiFloods For anyone who needs help... https:// twitter.com/AjithfcKsa/sta tus/671811694197235713 ";;;#ChennaiFloods;"671816329800908801";https://twitter.com/aarthirag2395/status/671816329800908801
